id,content,买方,卖方,标的
1204299920,"上海皓元医药股份有限公司关于全资子公司皓元科技发展有限公司现金收购MEDCHEMEXPRESSLLC股权的公告。一、交易情况（一）基本情况1.收购方：皓元科技发展有限公司（以下简称“香港皓元”）,系上海皓元医药股份有限公司（以下简称“皓元医药”）100%控股全资子公司。2.转让方：MEDCHEMEXPRESSLLC（以下简称“MCE”），股东：GAOZhinong、GAOAnnie，GAOZhinong与GAOAnnie系父女关系。3.转让标的：MEDCHEMEXPRESSLLC100%的股权。4.交易事项：香港皓元用现金购买MCE股东GAOZhinong所持有的95%的股权、GAOAnnie所持有的5%的股权。5.购买资产价格：600,000美元。6.是否构成关联交易：本次收购事项不存在关联关系，故不构成关联交易。7.根据《非上市公众重大资产重组管理办法》第二条规定：“公众公司及控股或者控制的公司购买、出售资产，达到下列标准之一的，1/5构成重大资产重组：（一）购买、出售的资产总额占公众公司最近一个会计年度经审计的合并财务会计报表期末资产总额的比例达到50%以上；",皓元科技发展有限公司,MEDCHEMEXPRESSLLC,MEDCHEMEXPRESSLLC
1204397991,"河南索克物业发展股份有限公司关于收购股权的公告。一、交易概况(一)基本情况根据公司业务发展需要，河南索克物业发展股份有限公司（以下简称“公司”）拟以现金形式收购郑州鑫阳物业管理有限公司（以下简称“鑫阳物业”）股东李亚玲所持有的95%股权、股东王姝娟所持有的4%股权及股东胡梦洁所持有的1%股权。截至2018年1月31日，鑫阳物业净资产为4,790,994.70元,经双方协商一致，公司以现金5,000,000.00元的价格收购鑫阳物业100%的股权。根据《非上市公众公司重大资产重组管理办法》第二条规定：“公众公司及其控股或者控制的公司购买、出售资产，达到下列标准之一的，构成重大资产重组。（一）购买、出售的资产总额占公众公司最近一个会计年度经审计的合并财务会计报表期末资产总额的比例达到50%以上；",河南索克物业发展股份有限公司,李亚玲、王姝娟、胡梦洁,郑州鑫阳物业管理有限公司
1204487407,"招商证券股份有限公司关于高斯贝尔数码科技股份有限公司调整收购深圳市高斯贝尔家居智能电子有限公司100%股权方案暨关联交易的核查意见。招商证券股份有限公司（以下简称“招商证券”、“保荐机构”）作为高斯贝尔数码科技股份有限公司（以下简称“高斯贝尔”或“公司”）首次公开发行股票并上市的保荐机构，根据《证券发行上市保荐业务管理办法》、《深圳证券交易所中小企业板上市公司规范运作指引》等有关规定的要求，对公司调整收购深圳市高斯贝尔家居智能电子有限公司（以下简称“家居智能”）100%股权方案暨关联交易的事项进行了审慎核查，并出具核查意见如下：一、收购事项及方案调整概述（一）收购事项及进展2017年8月30日，高斯贝尔召开第三届董事会第九次会议，审议通过了《关于变更部分募集资金用途用于收购相关资产暨关联交易的议案》，同意公司本次以现金方式向深圳高视伟业创业投资有限公司（以下简称“高视创投”）、刘潭爱以及其他7名自然人购买家居智能100%股权，交易对价为2.5亿元，变更“高斯贝尔生产基地技术改造及产业化项目剩余募集资金9,408.11万元及其利息用以支付交易对价，不足部分由公司以自有资金支付。2017年",高斯贝尔数码科技股份有限公司,深圳高视伟业创业投资有限公司,深圳市高斯贝尔家居智能电子有限公司
1204487407,"招商证券股份有限公司关于高斯贝尔数码科技股份有限公司调整收购深圳市高斯贝尔家居智能电子有限公司100%股权方案暨关联交易的核查意见。招商证券股份有限公司（以下简称“招商证券”、“保荐机构”）作为高斯贝尔数码科技股份有限公司（以下简称“高斯贝尔”或“公司”）首次公开发行股票并上市的保荐机构，根据《证券发行上市保荐业务管理办法》、《深圳证券交易所中小企业板上市公司规范运作指引》等有关规定的要求，对公司调整收购深圳市高斯贝尔家居智能电子有限公司（以下简称“家居智能”）100%股权方案暨关联交易的事项进行了审慎核查，并出具核查意见如下：一、收购事项及方案调整概述（一）收购事项及进展2017年8月30日，高斯贝尔召开第三届董事会第九次会议，审议通过了《关于变更部分募集资金用途用于收购相关资产暨关联交易的议案》，同意公司本次以现金方式向深圳高视伟业创业投资有限公司（以下简称“高视创投”）、刘潭爱以及其他7名自然人购买家居智能100%股权，交易对价为2.5亿元，变更“高斯贝尔生产基地技术改造及产业化项目剩余募集资金9,408.11万元及其利息用以支付交易对价，不足部分由公司以自有资金支付。2017年",高斯贝尔数码科技股份有限公司,刘潭爱,深圳市高斯贝尔家居智能电子有限公司
1204487407,"招商证券股份有限公司关于高斯贝尔数码科技股份有限公司调整收购深圳市高斯贝尔家居智能电子有限公司100%股权方案暨关联交易的核查意见。招商证券股份有限公司（以下简称“招商证券”、“保荐机构”）作为高斯贝尔数码科技股份有限公司（以下简称“高斯贝尔”或“公司”）首次公开发行股票并上市的保荐机构，根据《证券发行上市保荐业务管理办法》、《深圳证券交易所中小企业板上市公司规范运作指引》等有关规定的要求，对公司调整收购深圳市高斯贝尔家居智能电子有限公司（以下简称“家居智能”）100%股权方案暨关联交易的事项进行了审慎核查，并出具核查意见如下：一、收购事项及方案调整概述（一）收购事项及进展2017年8月30日，高斯贝尔召开第三届董事会第九次会议，审议通过了《关于变更部分募集资金用途用于收购相关资产暨关联交易的议案》，同意公司本次以现金方式向深圳高视伟业创业投资有限公司（以下简称“高视创投”）、刘潭爱以及其他7名自然人购买家居智能100%股权，交易对价为2.5亿元，变更“高斯贝尔生产基地技术改造及产业化项目剩余募集资金9,408.11万元及其利息用以支付交易对价，不足部分由公司以自有资金支付。2017年",高斯贝尔数码科技股份有限公司,刘潭爱,深圳市高斯贝尔家居智能电子有限公司
1204707316,"青岛高校信息产业股份有限公司关于出售控股子公司股权交易方案调整的提示性公告。本一、基本情况青岛高校信息产业股份有限公司（以下简称“公司”）于2017年3月16日将公司持有的控股子公司青岛高新金财信息科技有限公司（以下简称“高新金财”）51%的股权以9,741万元的价格出售给方欣科技有限公司（以下简称“方欣科技”），具体内容详见公司披露于全国中小企业股份转让系统指定信息披露平台上的《关于出售控股子公司青岛高新金财信息由于宏观市场环境和财税行业政策在2017年发生了较大变化，致使交易各方原约定的盈利预测及业绩承诺未能达成。经交易各方充分沟通，本着谨慎、务实、可行的原则，并结合当前的市场环境，同意对高新金财的业绩承诺及公司估值进行调整，并由交易各方签署了《关于青岛高新金财信息科技有限公司收购方案调整的备忘录》，交易各方同意结合目前市场情况以及政策情况，基于高新金财管理团队重新测算的高新金财2018年至2020年的盈利预测数据，聘请具有证券从业资格的",方欣科技有限公司,青岛高校信息产业股份有限公司,青岛高新金财信息科技有限公司
1204711659,"河南古城传媒股份有限公司出售子公司股权的公告。一、交易概况（一）基本情况出售方：河南古城传媒股份有限公司交易对方：尚瑞澎、朱灏交易标的：公司持有的河南丰乾融泰实业有限公司60.00%的股权。交易事项：公司出售持有的河南丰乾融泰实业有限公司全部股权。交易价格：0.00元。公司持有河南丰乾融泰实业有限公司60.00%股权，因未实际出资，2017年度审计时未将河南丰乾融泰实业有限公司纳入合并范围，因此本次股权转让的交易价格为0元。本次交易不构成重大资产重组。公司经审计的2017年度合并财务报表期末总资产和净资产分别为40,742,602.55元和26,449,850.94元；如将河南丰乾融泰实业有限公司纳入合并范围，2017年末公司总资产和净资产分别为81,308,427.45元（未经审计）和29,127,373.70元（未经审计）；河南丰乾融泰实业有限公司20172,677,522.76元（未经审计）。根据《非上市公众公司重大资产重组管理办法》的相关规定：“公众公司及其控股或者控制的公司购买、出售资产，达到下列标准之一的，构成重大资产重组：(一)购买、出售的资产总额占公众公司最近一个会计年",尚瑞澎、朱灏,河南古城传媒股份有限公司,河南丰乾融泰实业有限公司
1204712213,"石家庄博宇科技股份有限公司关于出售子公司股权暨关联交易公告。一、交易概况（一）基本情况本次关联交易是偶发性关联交易石家庄博宇科技股份有限公司（以下简称“公司”）拟将持有的全资子公司石家庄超图科技开发有限公司（以下简称超图科技）100%股权出售给自然人李娟，转让价款为1,000万元。李娟为公司控股股东、实际控制人。上述交易构成了公司的关联交易。根据《非上市公众公司重大资产重组管理办法》的相关规定，出售股权未导致公众公司丧失被投资企业控股权的，其资产总额、资产净额均以该股权的账面价值为准。根据立信会计师事务所2018年4月20日出具的信会师报字[2018]第ZB10901号《审计报告》（以下简称“《审计报告》”），截至2017年12月31日，公司经审计的资产总额为108,935,530.14元（合并），资产净额为89,954,594.42元（合并）。截至2017年12月31日，超图科技子对应的账面价值为8,726,070.61元，占公司2017年会计年度经审计的合并财务会计报表期末资产总额、资产净额的比例分别8.01%、9.70%，因此，本次交易不构成重大资产重组。",李娟,石家庄博宇科技股份有限公司,石家庄超图科技开发有限公司
1204718988,"诚德科技股份有限公司关于收购浙江翔鹏新材料有限公司100%股权暨关联交易的公告。本一、交易概述（一）基本情况收购方：诚德科技股份有限公司（以下简称“公司”或“诚德股份”）交易对方：王道德、王道信交易标的：王道德及王道信持有的浙江翔鹏新材料有限公司（以下简称“翔鹏新材”）100%股权交易价格：人民币1,123.47万元协议签署日期：2018年4月15日此项交易构成关联交易，不构成重大资产重组。",诚德科技股份有限公司,王道德、王道信,浙江翔鹏新材料有限公司
1204735154,"辽宁科隆精细化工股份有限公司关于公司收购四川恒泽建材有限公司股权2017年度业绩承诺未实现情况的说明的公告。一、重大资产重组的基本情况收购四川恒泽建材有限公司100%股权基本情况2016年5月，辽宁科隆精细化工股份有限公司（简称“科隆股份”）2016年第一次临时股东大会审议通过发行股份及支付现金购买资产并募集配套资金暨关联交易的相关议案，科隆股份拟通过发行股份并支付现金的方式购买喀什新兴鸿溢创业投资有限公司、喀什泽源创业投资有限公司两名交易对方合计持有的四川恒泽建材有限公司（简称“四川恒泽”）100%股份，并募集配套资金。依据双方的《发行股份及支付现金购买资产之协议书》，本次交易标的资产作价为23,000.00万元。其中，发行股份支付对价金额为14,950.00万元，占全部收购价款的65%；现金对价金额为8,050.00万元，占全部收购价款的35%。同时，本次交易拟向蒲泽一、蒲静依、上海银叶阶跃资产管理有限公司管理的银叶阶跃定增1号私募基金发行股份募集配套资金，配套资金总额19,000.00万元。2016年8月5日，经中国证监会上市公司并购重组委员会召开的2016年第58次工作会议审核",辽宁科隆精细化工股份有限公司,喀什新兴鸿溢创业投资有限公司、喀什泽源创业投资有限公司,四川恒泽建材有限公司
